                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                             Smile                                        Lily Allen
                                   Smooth Criminal                                    Alien Ant Farm
                                   Snap Yo Fingers                                           Lil Jon
                                              Snow                             Red Hot Chili Peppers
                                           So Am I                                           Ava Max
                                           So Gone                                            Monica
                                           So Sick                                                Ne
                                           So What                                              P!nk
                                             Sober                                              P!nk
                                           Soldier                                   Destiny's Child
                                              Solo                                      Clean Bandit
                                        Solo Dance                                     Martin Jensen
                                           Soltera                                             Lunay
                                          Some Cut                                        Trillville
                                          Somebody                                   Natalie La Rose
                      Somebody That I Used To Know                                             Gotye
                                           Someday                                        Nickelback
                                  Someone Like You                                             Adele
                                 Someone You Loved                                     Lewis Capaldi
                                  Somethin' Stupid                                   Robbie Williams
                                         Something                                             Lasgo
                          Something Just Like This                                  The Chainsmokers
                             Something Kinda Ooooh                                       Girls Aloud
           Sometimes You Can't Make It On Your Own                                                U2
                                        Sonnentanz                                    Klangkarussell
                                             Sorry                                           Madonna
                                             Sorry                                     Justin Bieber
                                             Sorry                                     Justin Bieber
                                             Sorry                                           Beyonce
                                             Sorry                                        Joel Corry
                Sorry Seems To Be The Hardest Word                                              Blue
                                     Soul Survivor                                             Jeezy
                          Sound Of The Underground                                       Girls Aloud
                              Southern Hospitality                                          Ludacris
                                         Southside                                             Lloyd
                                          Spectrum                            Florence + The Machine
                                    Speed of Sound                                          Coldplay
                                   Spinning Around                                     Kylie Minogue
                                   Spinning Around                                     Kylie Minogue
                                           Spirits                                   The Strumbellas
                                 Splash Waterfalls                                          Ludacris
                                         Spotlight                                   Jennifer Hudson
                                         Spotlight                                        Marshmello
                                              Stan                                            Eminem
                                          Stand Up                                          Ludacris
                                           Starboy                                        The Weeknd
                                         Starlight                               The Supermen Lovers
                                       Starry Eyed                                    Ellie Goulding
                                         Starships                                       Nicki Minaj
                                        Starstrukk                                             3OH!3
                           Started From the Bottom                                             Drake
                               Starz In Their Eyes                                         Just Jack
                                              Stay                                           Rihanna
                                    Stay The Night                                              Zedd
                                      Stay With Me                                         Sam Smith
                              Steady - As She Goes                                    The Raconteurs
                                     Steal My Girl                                     One Direction
                                     Stereo Hearts                                  Gym Class Heroes
                                       Stereo Love                                       Edward Maya
                                       Stereo Love                                       Edward Maya
                                         Stickwitu                                The Pussycat Dolls
                                         Stickwitu                                The Pussycat Dolls
                                         Still Fly                                        Big Tymers
                                    Still into You                                          Paramore
                                          Stir Fry                                             Migos
                                          Stitches                                      Shawn Mendes
                                             Stole                                     Kelly Rowland
                                    Stole the Show                                              Kygo
                                    Stole the Show                                              Kygo
                                      Stolen Dance                                      Milky Chance
                                    Stop And Stare                                       OneRepublic
                                           Stop Me                                       Mark Ronson
                                  Story of My Life                                     One Direction
                              Stranger in My House                                             Tamia
                                      Stressed Out                                 Twenty One Pilots
                                     Strike a Pose                                  Young T & Bugsey
                                   Strip That Down                                        Liam Payne
                                          Stronger                                        Kanye West
                                          Stronger                                    Kelly Clarkson
                                      Stupid Girls                                              P!nk
                                           Stutter                                               Joe
                                             Style                                      Taylor Swift
                                             Style                                      Taylor Swift
                                            Sucker                                    Jonas Brothers
                                   Sucker for Pain                                         Lil Wayne
                                    Suddenly I See                                       KT Tunstall
                                         Suffocate                                        J. Holiday
                                         Suga Suga                                         Baby Bash
                                         Suga Suga                                         Baby Bash
                                             Sugar                                          Maroon 5
                                             Sugar                                      Robin Schulz
                                              Suge                                            DaBaby
                                        Suit & Tie                                 Justin Timberlake
                                            Summer                                     Calvin Harris
                                       Summer Love                                 Justin Timberlake
                                Summertime Sadness                                      Lana Del Rey
                                         Sunflower                                       Post Malone
                                           Sunrise                                        Simply Red
                                      Sunset Lover                                     Petit Biscuit
                                          Sunshine                                         Lil' Flip
                                          Sunshine                                            Twista
                                        Super Bass                                       Nicki Minaj
                                       Superheroes                                        The Script
                           Supermassive Black Hole                                              Muse
                                         Superstar                                           Jamelia
                                         Superstar                                       Lupe Fiasco
                           Sure Be Cool If You Did                                     Blake Shelton
                                        Sure Thing                                            Miguel
                                          Survivor                                   Destiny's Child
                                            Swalla                                      Jason Derulo
                                             Swang                                      Rae Sremmurd
                                             Sweat                                        Snoop Dogg
                                   Sweater Weather                                 The Neighbourhood
                                    Sweet About Me                                   Gabriella Cilmi
                                      Sweet Dreams                                           Beyonce
                             Sweet Dreams My LA Ex                                    Rachel Stevens
                                      Sweet Lovin'                                            Sigala
                                     Sweet Nothing                                     Calvin Harris
                                  Sweet but Psycho                                           Ava Max
                                     Sweetest Girl                                       Wyclef Jean
                                           Swervin                            A Boogie Wit da Hoodie
                                    Swimming Pools                                    Kendrick Lamar
                                            Switch                                        Will Smith
                                          Symphony                                      Clean Bandit
                                                 T                                             Migos
                                              TRUE                                      Ryan Cabrera
                                      Tainted Love                                    Marilyn Manson
                                        Take A Bow                                           Rihanna
                                Take A Look Around                                       Limp Bizkit
                                         Take Care                                             Drake
                                       Take It Off                                             Kesha
                            Take Me Back to London                                        Ed Sheeran
                                       Take Me Out                                   Franz Ferdinand
                                 Take Me To Church                                            Hozier
                       Take Me To The Clouds Above                                               LMC
                                    Take You There                                     Sean Kingston
                                         Taki Taki                                          DJ Snake
                                         Taki Taki                                          DJ Snake
                                        Talk Dirty                                      Jason Derulo
                                        Talk Dirty                                      Jason Derulo
                                      Talking Body                                           Tove Lo
                                      Talking Body                                           Tove Lo
                               Talking to the Moon                                        Bruno Mars
                                             Taste                                              Tyga
                                            Tattoo                                     Jordin Sparks
                                            Te Amo                                           Rihanna
                                           Te Bote                                        Nio Garcia
                            Teach Me How to Dougie                                Cali Swag District
                                              Team                                             Lorde
                                              Team                                             Lorde
                                             Tears                                      Clean Bandit
                                   Teenage Dirtbag                                           Wheatus
                                     Teenage Dream                                        Katy Perry
                                         Teenagers                               My Chemical Romance
                                         Telephone                                         Lady Gaga
                                       Temperature                                         Sean Paul
                             Thank God I Found You                                      Mariah Carey
                                         Thank You                                              Dido
                                    That's My Goal                                       Shayne Ward
                                That's Not My Name                                    The Ting Tings
                              That's the Way It Is                                       Celine Dion
               The Adventures of Rain Dance Maggie                             Red Hot Chili Peppers
                              The Boy Does Nothing                                      Alesha Dixon
                        The Closest Thing to Crazy                                       Katie Melua
                                        The Creeps                                     Camille Jones
                                 The Edge Of Glory                                         Lady Gaga
                                          The Fear                                        Lily Allen
                                         The Flood                                         Take That
                                           The Fox                                             Ylvis
                                  The Girl Is Mine                                          99 Souls
                                        The Git Up                                      Blanco Brown
                                  The Great Escape                                   Boys Like Girls
                                      The Greatest                                               Sia
                                 The Greatest Show                                      Hugh Jackman
                     The Heart Wants What It Wants                                      Selena Gomez
                     The Heart Wants What It Wants                                      Selena Gomez
                                         The Hills                                        The Weeknd
                                      The Jump Off                                          Lil' Kim
                                  The Ketchup Song                                       Las Ketchup
                                          The Kill                            Thirty Seconds To Mars
                                     The Lazy Song                                        Bruno Mars
                        The Less I Know The Better                                       Tame Impala
                                  The Logical Song                                           Scooter
                                        The London                                        Young Thug
                                        The Middle                                   Jimmy Eat World
                                        The Middle                                              Zedd
                                       The Monster                                            Eminem
                                         The Motto                                             Drake
                                  The Next Episode                                           Dr. Dre
                                        The Nights                                            Avicii
                                         The Ocean                                        Mike Perry
                             The One That Got Away                                        Katy Perry
                                    The Other Side                                      Jason Derulo
                                     The Pretender                                      Foo Fighters
                               The Real Slim Shady                                            Eminem
                                        The Reason                                        Hoobastank
                                        The Riddle                                   Gigi D'Agostino
                                          The Rose                                          Westlife
                                          The Seed                                         The Roots
                                  The Show Goes On                                       Lupe Fiasco
                                  The Sweet Escape                                      Gwen Stefani
                                  The Tide Is High                                     Atomic Kitten
                                          The Time                                   Black Eyed Peas
                                   The Time Is Now                                            Moloko
                                           The Way                                     Ariana Grande
                                      The Way I Am                                      Charlie Puth
                                     The Way I Are                                         Timbaland
                                    The Way I Live                                Baby Boy Da Prince
                                  The Way You Move                                           Outkast
                                  The Way You Move                                           Outkast
                                   The Whole World                                           Outkast
                                      There You Go                                              P!nk
                                   There You'll Be                                        Faith Hill
                   There's Nothing Holdin' Me Back                                      Shawn Mendes
                                Thinking About You                                     Calvin Harris
                                 Thinking out Loud                                        Ed Sheeran
            This Ain't A Scene - It's An Arms Race                                      Fall Out Boy
                            This Ain't a Love Song                                Scouting For Girls
                                      This Feeling                                  The Chainsmokers
                                         This Girl                                             Kungs
                                 This Is How We Do                                        Katy Perry
                                      This Is Love                                         will.i.am
                        This Is What It Feels Like                                  Armin van Buuren
                         This Is What You Came For                                     Calvin Harris
                               This Is Why I'm Hot                                              MiMS
                                         This Love                                          Maroon 5
                                This One's for You                                      David Guetta
                                  Thnks fr th Mmrs                                      Fall Out Boy
                                        Thong Song                                             Sisqo
                                          Thotiana                                          Blueface
                                       Thrift Shop                           Macklemore & Ryan Lewis
                                  Through The Wire                                        Kanye West
                               Throw It In The Bag                                          Fabolous
                                    Throw Some D's                                          Rich Boy
                                           Thunder                                   Imagine Dragons
                         Thunder in My Heart Again                                              Meck
                                           TiK ToK                                             Kesha
                                     Tiimmy Turner                                         Desiigner
                                   Till I Collapse                                            Eminem
                               Till the World Ends                                    Britney Spears
                                            Timber                                           Pitbull
                                 Time of Our Lives                                           Pitbull
                                           Tip Toe                                      Jason Derulo
                                             Tipsy                                                 J
                                          Titanium                                      David Guetta
                                       Tongue Tied                                         Grouplove
                                           Tonight                                  Enrique Iglesias
                                   Tonight Tonight                                    Hot Chelle Rae
                                         Too Close                                        Alex Clare
                                          Too Good                                             Drake
                              Too Good At Goodbyes                                         Sam Smith
                               Too Little Too Late                                              JoJo
                                   Too Lost In You                                         Sugababes
                                   Too Lost In You                                         Sugababes
                                          Touch It                                      Busta Rhymes
                                          Touch Me                                      Rui Da Silva
                                     Touch My Body                                      Mariah Carey
                                     Touch The Sky                                        Kanye West
                                             Toxic                                    Britney Spears
                                        Trap Queen                                         Fetty Wap
                                          Treasure                                        Bruno Mars
                                  Treat You Better                                      Shawn Mendes
                                          Trick Me                                             Kelis
                                              Trip                                          Ella Mai
                                          Tripping                                   Robbie Williams
                                      Troublemaker                                         Olly Murs
                                         True Love                                              P!nk
                                          Trumpets                                      Jason Derulo
                                               Try                                              P!nk
                                               Try                                              P!nk
                                         Try Again                                           Aaliyah
                                           Tuesday                                       Burak Yeter
                                     Tunnel Vision                                       Kodak Black
                                Turn Down for What                                          DJ Snake
                                        Turn Me On                                      Kevin Lyttle
                                        Turn Me On                                      David Guetta
                                   Turn My Swag On                                        Soulja Boy
                                Turn Off The Light                                     Nelly Furtado
                                 Turn Up the Music                                       Chris Brown
                                      Turnin Me On                                       Keri Hilson
                                       U + Ur Hand                                              P!nk
                              U Don't Have to Call                                             Usher
                                  U Know What's Up                                      Donell Jones
                                   U Make Me Wanna                                              Blue
                                         U and Dat                                                 E
                                        Ugly Heart                                            G.R.L.
                                            Uh Huh                                               B2K
                                          Umbrella                                           Rihanna
                                  Unchained Melody                                      Gareth Gates
                                   Unconditionally                                        Katy Perry
                                     Under Control                                     Calvin Harris
                                 Underneath It All                                          No Doubt
                           Underneath Your Clothes                                           Shakira
                                        Unfaithful                                           Rihanna
                                     Unforgettable                                    French Montana
                             Until The End Of Time                                              2Pac
                                         Untouched                                     The Veronicas
                                            Unwell                                   Matchbox Twenty
                                         Unwritten                               Natasha Bedingfield
                                                Up                                         Olly Murs
                                          Uprising                                              Muse
                                       Uptown Funk                                       Mark Ronson
                                        Vaina Loca                                             Ozuna
                                           Valerie                                       Mark Ronson
                                           Vertigo                                                U2
                                       Violet Hill                                          Coldplay
                                      Viva La Vida                                          Coldplay
                                         Vossi Bop                                           Stormzy
                                              Wait                                   Ying Yang Twins
                                    Wait a Minute!                                            WILLOW
                                      Wait for You                                     Elliott Yamin
                                 Waiting All Night                                        Rudimental
                                  Waiting For Love                                            Avicii
                                        Wake Me Up                                            Avicii
                                Waking Up In Vegas                                        Katy Perry
                                       Walk It Out                                               Unk
                                   Walk It Talk It                                             Migos
                                Walking On A Dream                                 Empire of the Sun
                                           Wanksta                                           50 Cent
                             Wanna Get To Know You                                                 G
                                       Want U Back                                        Cher Lloyd
                                            Wasted                                            Tiesto
                                   Wasting My Time                                           Default
                                          Watch Me                                           Silento
                                             Waves                                         Mr. Probz
                                       Wavin' Flag                                            K'NAAN
                                    Way down We Go                                             KALEO
                                      We Are Young                                              fun.
                                     We Be Burnin'                                         Sean Paul
                                We Belong Together                                      Mariah Carey
                                     We Can't Stop                                       Miley Cyrus
                                         We Come 1                                         Faithless
                             We Don't Talk Anymore                                      Charlie Puth
                                       We Fly High                                         Jim Jones
                                     We Found Love                                           Rihanna
                                     We Found Love                                           Rihanna
                                       We Made You                                            Eminem
                             We No Speak Americano                                   Yolanda Be Cool
                                         We Own It                                          2 Chainz
                                     We R Who We R                                             Kesha
                              We'll Be Coming Back                                     Calvin Harris
                                              Weak                                               AJR
                                  Wearing My Rolex                                             Wiley
                       Welcome to the Black Parade                               My Chemical Romance
                                     What About Us                                     The Saturdays
                                    What About Us?                                            Brandy
                                 What Do You Mean?                                     Justin Bieber
               What Goes Around.../...Comes Around                                 Justin Timberlake
                               What Hurts The Most                                     Rascal Flatts
                                    What I've Done                                       Linkin Park
                          What Makes You Beautiful                                     One Direction
                            What Took You So Long?                                       Emma Bunton
                                      What You Got                                     Colby O'Donis
                                     What You Know                                              T.I.
                                     What You Know                              Two Door Cinema Club
                             What You Waiting For?                                      Gwen Stefani
                                     What the Hell                                     Avril Lavigne
                                     What'chu Like                                           Da Brat
                                What's It Gonna Be                                           H two O
                                 What's Left Of Me                                       Nick Lachey
                                       What's Luv?                                           Fat Joe
                                   What's My Name?                                           Rihanna
                                   What's My Name?                                           Rihanna
                              Whataya Want from Me                                      Adam Lambert
                                       Whatcha Say                                      Jason Derulo
                                       Whatcha Say                                      Jason Derulo
                                 Whatever It Takes                                   Imagine Dragons
                                 Whatever You Like                                              T.I.
                                 Whatever You Like                                              T.I.
                                    When I Grow Up                                The Pussycat Dolls
                               When I Was Your Man                                        Bruno Mars
                                     When I'm Gone                                      3 Doors Down
                                     When I'm Gone                                            Eminem
                              When Love Takes Over                                      David Guetta
                            When The Sun Goes Down                                    Arctic Monkeys
                                   When We Collide                                       Matt Cardle
                            When We Stand Together                                        Nickelback
                               When You Look At Me                                  Christina Milian
                                  When You're Gone                                     Avril Lavigne
                               Whenever - Wherever                                           Shakira
                                   Where Are U Now                                            Jack U
                               Where Have You Been                                           Rihanna
                                  Where I Wanna Be                                      Donell Jones
                                Where Is The Love?                                   Black Eyed Peas
                               Where Them Girls At                                      David Guetta
                                Where the Party At                                       Jagged Edge
                                    Where'd You Go                                        Fort Minor
                                     Wherever I Go                                       OneRepublic
                              Wherever You Will Go                                       The Calling
                              Wherever You Will Go                                   Charlene Soraia
                                           Whistle                                          Flo Rida
                                        White Flag                                              Dido
                                        White Flag                                              Dido
                                       White Noise                                        Disclosure
                                          Who Knew                                              P!nk
                              Who Let The Dogs Out                                          Baha Men
                                          Who Says                          Selena Gomez & The Scene
                                 Who's That Chick?                                      David Guetta
                                       Whole Again                                     Atomic Kitten
          Why'd You Only Call Me When You're High?                                    Arctic Monkeys
                                        Wide Awake                                        Katy Perry
                                             Wifey                                              Next
                                            Wiggle                                      Jason Derulo
                                         Wild Ones                                          Flo Rida
                                     Wild Thoughts                                         DJ Khaled
                                    Wildest Dreams                                      Taylor Swift
                                             Wings                                        Little Mix
                                             Wings                                             Birdy
                                     Wish You Well                                            Sigala
                                Wish You Were Mine                                     Philip George
                               With Arms Wide Open                                             Creed
                              With Every Heartbeat                                             Robyn
                                          With You                                   Jessica Simpson
                                          With You                                       Chris Brown
                                        Without Me                                            Eminem
                                        Without Me                                            Halsey
                                       Without You                                      David Guetta
                                       Without You                                            Avicii
                                            Wolves                                      Selena Gomez
                                         Womanizer                                    Britney Spears
                                   Wonderful World                                    James Morrison
                                              Work                                     Kelly Rowland
                                              Work                                           Rihanna
                                        Work B**ch                                    Britney Spears
                             Work Hard - Play Hard                                       Wiz Khalifa
                                           Work It                                     Missy Elliott
                                           Work It                                     Missy Elliott
                                    Work from Home                                     Fifth Harmony
                                          Worth It                                     Fifth Harmony
                                               Wow                                     Kylie Minogue
                                              Wow.                                       Post Malone
                                        Wrapped Up                                         Olly Murs
                                     Wrecking Ball                                       Miley Cyrus
                             Writing's On The Wall                                         Sam Smith
                              Written in the Stars                                      Tinie Tempah
                                                 X                                         Nicky Jam
                              X Gon' Give It To Ya                                               DMX
                                     XO Tour Llif3                                      Lil Uzi Vert
                                           Yeah 3x                                       Chris Brown
                                             Yeah!                                             Usher
                                             Years                                            Alesso
                                        Yes Indeed                                          Lil Baby
                                                Yo                                       Chris Brown
                                               You                                             Lloyd
                                You Belong With Me                                      Taylor Swift
                                 You Don't Know Me                                         Jax Jones
